scenario,block_position,missing_rate,method,mae,rmse,r2
block_end,end,0.60,decision_tree,1.099697,1.359276,-1.892888
block_end,end,0.60,random_forest,1.181296,1.426233,-2.184909
block_end,end,0.70,forward_fill,1.740990,1.962230,-3.699556
block_end,end,0.70,linear_interpolation,1.175990,1.363479,-1.269100
block_end,end,0.70,time_interpolation,1.175990,1.363479,-1.269100
block_end,end,0.70,cubic_interpolation,1.927389,2.234575,-5.094623
block_end,end,0.70,spline_interpolation,2.646819,3.187375,-11.400049
block_end,end,0.70,knn,3.216380,3.445787,-13.492182
block_end,end,0.70,decision_tree,1.410660,1.665156,-2.384285
block_end,end,0.70,random_forest,1.808271,2.022164,-3.991023
block_end,end,0.80,forward_fill,2.878391,3.122010,-5.553357
block_end,end,0.80,linear_interpolation,1.593685,1.740442,-1.036641
block_end,end,0.80,time_interpolation,1.593685,1.740442,-1.036641
block_end,end,0.80,cubic_interpolation,4.038971,4.886624,-15.055103
block_end,end,0.80,spline_interpolation,6.466504,7.334357,-35.167564
block_end,end,0.80,knn,3.517043,3.746753,-8.438552
block_end,end,0.80,decision_tree,2.196130,2.431862,-2.976245
block_end,end,0.80,random_forest,3.029984,3.265933,-6.171495
