method,mae,scenario,block_position,missing_rate
knn,2.234110,block_end,end,0.30
decision_tree,1.038651,block_end,end,0.30
random_forest,1.032106,block_end,end,0.30
forward_fill,1.322957,block_end,end,0.40
linear_interpolation,1.248091,block_end,end,0.40
time_interpolation,1.248091,block_end,end,0.40
cubic_interpolation,2.923715,block_end,end,0.40
spline_interpolation,2.923715,block_end,end,0.40
knn,2.762509,block_end,end,0.40
decision_tree,1.189942,block_end,end,0.40
random_forest,1.026029,block_end,end,0.40
forward_fill,0.883333,block_end,end,0.50
linear_interpolation,0.943836,block_end,end,0.50
time_interpolation,0.943836,block_end,end,0.50
cubic_interpolation,6.349068,block_end,end,0.50
spline_interpolation,6.349068,block_end,end,0.50
knn,3.057264,block_end,end,0.50
decision_tree,0.817639,block_end,end,0.50
random_forest,0.933388,block_end,end,0.50
forward_fill,1.222023,block_end,end,0.60
linear_interpolation,1.022023,block_end,end,0.60
time_interpolation,1.022023,block_end,end,0.60
cubic_interpolation,0.722704,block_end,end,0.60
spline_interpolation,0.722704,block_end,end,0.60
knn,3.048956,block_end,end,0.60
decision_tree,1.099697,block_end,end,0.60
random_forest,1.181296,block_end,end,0.60
forward_fill,1.740990,block_end,end,0.70
linear_interpolation,1.175990,block_end,end,0.70
time_interpolation,1.175990,block_end,end,0.70
cubic_interpolation,2.646819,block_end,end,0.70
spline_interpolation,2.646819,block_end,end,0.70
knn,3.216380,block_end,end,0.70
decision_tree,1.410660,block_end,end,0.70
random_forest,1.808271,block_end,end,0.70
forward_fill,2.878391,block_end,end,0.80
linear_interpolation,1.593685,block_end,end,0.80
time_interpolation,1.593685,block_end,end,0.80
cubic_interpolation,6.466504,block_end,end,0.80
spline_interpolation,6.466504,block_end,end,0.80
knn,3.517043,block_end,end,0.80
decision_tree,2.196130,block_end,end,0.80
random_forest,3.029984,block_end,end,0.80
